10000,6,20033
10000,0,20033
10000,1,20033
20000,3,40035
20000,4,40035
20000,2,40035
30000,4,60034
30000,5,60034
30000,4,60034
40000,8,80037
40000,8,80037
40000,7,80037
50000,6,100038
50000,6,100038
50000,7,100038
60000,8,120036
60000,11,120036
60000,0,120036
70000,15,140041
70000,9,140041
70000,9,140041
80000,18,160039
80000,12,160039
80000,12,160039
90000,13,180038
90000,14,180038
90000,12,180038
100000,20,200040
100000,13,200040
100000,16,200040
10000,0,20033
10000,1,20033
10000,1,20033
20000,1,40035
20000,2,40035
20000,1,40035
30000,2,60034
30000,2,60034
30000,3,60034
40000,4,80037
40000,2,80037
40000,1,80037
50000,3,100038
50000,2,100038
50000,7,100038
60000,3,120036
60000,3,120036
60000,3,120036
70000,4,140041
70000,4,140041
70000,6,140041
80000,0,160039
80000,6,160039
80000,0,160039
90000,4,180038
90000,4,180038
90000,16,180038
100000,6,200040
100000,6,200040
100000,17,200040
10000,0,20033
10000,0,20033
10000,0,20033
20000,0,40035
20000,1,40035
20000,1,40035
30000,2,60034
30000,2,60034
30000,2,60034
40000,2,80037
40000,2,80037
40000,3,80037
50000,2,100038
50000,3,100038
50000,3,100038
60000,0,120036
60000,5,120036
60000,3,120036
70000,4,140041
70000,4,140041
70000,5,140041
80000,0,160039
80000,0,160039
80000,5,160039
90000,17,180038
90000,20,180038
90000,3,180038
100000,0,200040
100000,7,200040
100000,8,200040
10000,1,20033
10000,1,20033
10000,0,20033
20000,0,40035
20000,0,40035
20000,0,40035
30000,0,60034
30000,0,60034
30000,2,60034
40000,1,80037
40000,2,80037
40000,2,80037
50000,3,100038
50000,0,100038
50000,0,100038
60000,0,120036
60000,3,120036
60000,1,120036
70000,0,140041
70000,0,140041
70000,4,140041
80000,0,160039
80000,7,160039
80000,5,160039
90000,6,180038
90000,0,180038
90000,0,180038
100000,7,200040
100000,15,200040
100000,5,200040
10000,0,20033
10000,1,20033
10000,1,20033
20000,2,40035
20000,1,40035
20000,1,40035
30000,1,60034
30000,1,60034
30000,2,60034
40000,2,80037
40000,3,80037
40000,3,80037
50000,3,100038
50000,3,100038
50000,3,100038
60000,0,120036
60000,3,120036
60000,17,120036
70000,15,140041
70000,5,140041
70000,0,140041
80000,0,160039
80000,4,160039
80000,0,160039
90000,0,180038
90000,8,180038
90000,15,180038
100000,5,200040
100000,16,200040
100000,0,200040
10000,0,20033
10000,1,20033
10000,0,20033
20000,4,40035
20000,3,40035
20000,4,40035
30000,4,60034
30000,5,60034
30000,3,60034
40000,5,80037
40000,5,80037
40000,2,80037
50000,0,100038
50000,0,100038
50000,6,100038
60000,0,120036
60000,0,120036
60000,10,120036
70000,12,140041
70000,0,140041
70000,8,140041
80000,9,160039
80000,15,160039
80000,19,160039
90000,2,180038
90000,13,180038
90000,13,180038
100000,15,200040
100000,19,200040
100000,20,200040
