,Size,k,Radix Sort
0,100000,1000000,0.5916191577911377
1,200000,1000000,1.181668472290039
2,300000,1000000,1.924246597290039
3,400000,1000000,3.1424091815948487
4,500000,1000000,5.615889263153076
5,600000,1000000,5.2627918243408205
6,700000,1000000,4.050223016738892
7,800000,1000000,4.6226644039154055
8,900000,1000000,4.9718958854675295
9,1000000,1000000,7.183568048477173
